id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,activities
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,"driving,working out"
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,"studying,relaxing"
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,"working out,driving"
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,"studying,relaxing"
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,"working out"
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,"relaxing,sleeping"
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,"studying,relaxing"
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,"driving,relaxing"
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,"studying,working"
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,"driving,partying"
11,Block Party Anthem,Westside Grid,hip-hop,energetic,0.78,96,0.62,0.85,0.08,"working out,partying"
12,Velvet Hours,Silk Lane,r&b,romantic,0.55,88,0.72,0.76,0.30,"relaxing,dating"
13,Broken Compass,The Hollow Coats,indie rock,moody,0.68,105,0.38,0.55,0.25,"driving,relaxing"
14,Empty Fields,River June,indie folk,melancholic,0.32,68,0.28,0.38,0.88,"relaxing,sleeping"
15,Voltage Drop,Circuit Ghost,electronic,intense,0.95,140,0.71,0.92,0.03,"working out,partying"
16,Groove Machine,The Funky Situation,funk,happy,0.65,108,0.85,0.81,0.52,"driving,partying"
17,Iron Throne,DarkForge,heavy metal,angry,0.97,168,0.22,0.45,0.04,"working out"
18,Morning Prelude,Clara Voss,classical,peaceful,0.22,52,0.74,0.30,0.97,"studying,relaxing"
